resolved_timestamp,event_name,league,game_id,market_type,outcome_name,won,max_implied_prob,max_clob_buy_price,first_seen_timestamp,last_seen_timestamp,minutes_tracked
2026-02-27T12:55:46.515466+00:00,Pune: Manoj Dhamne Manas vs Duje Ajdukovic,atp,5202002,over_under,Over 2.5,true,0.99,0.999,2026-02-27T12:07:36.854944+00:00,2026-02-27T12:52:16.529943+00:00,44.7
2026-02-27T13:35:20.956300+00:00,Dota 2: Tundra Esports vs Team Liquid (BO3) - DreamLeague Stage 2,dota-2,1358118,over_under,Over,true,0.99,0.946,2026-02-27T12:38:24.285972+00:00,2026-02-27T13:31:26.454497+00:00,53.0
2026-02-27T13:40:36.904681+00:00,T20 World Cup: England vs New Zealand,international-cricket,,moneyline,Yes,true,0.99,0,2026-02-27T13:27:30.320036+00:00,2026-02-27T13:36:38.897408+00:00,9.1
2026-02-27T13:40:36.904681+00:00,T20 World Cup: England vs New Zealand,international-cricket,,moneyline,New Zealand,true,0.99,0,2026-02-27T13:32:45.084358+00:00,2026-02-27T13:36:38.897408+00:00,3.9
2026-02-27T14:40:38.914836+00:00,Counter-Strike: ENCE vs Eternal Fire (BO3) - DraculaN Playoffs,counter-strike,1363307,spread,Eternal Fire,true,0.99,0.99,2026-02-27T13:00:10.217560+00:00,2026-02-27T14:37:45.021889+00:00,97.6
2026-02-27T14:43:24.291488+00:00,Dubai Tennis Championships: Felix Auger-Aliassime vs Daniil Medvedev,atp,5204640,moneyline,Under,true,0.99,0.49,2026-02-27T13:00:10.217560+00:00,2026-02-27T14:40:38.914836+00:00,100.5
2026-02-27T15:18:20.425219+00:00,Dota 2: PARIVISION vs MOUZ (BO3) - DreamLeague Stage 2,dota-2,1358121,moneyline,PARIVISION,true,0.99,0.95,2026-02-27T14:07:16.617736+00:00,2026-02-27T15:14:20.539402+00:00,67.1
2026-02-27T15:54:53.950291+00:00,Dubai Tennis Championships: Andrey Rublev vs Tallon Griekspoor,atp,5204906,moneyline,Over,true,0.99,0.993,2026-02-27T15:00:30.828642+00:00,2026-02-27T15:51:37.704729+00:00,51.1
2026-02-27T16:19:06.582033+00:00,FC Hermannstadt vs. FC Botoşani,romania-1,90106879,moneyline,No,true,0.99,0.99,2026-02-27T15:00:30.828642+00:00,2026-02-27T16:15:44.575565+00:00,75.2
2026-02-27T16:52:57.223720+00:00,FC Hermannstadt vs. FC Botoşani,romania-1,90106879,moneyline,Yes,true,0.99,0.98,2026-02-27T15:00:30.828642+00:00,2026-02-27T16:48:58.786752+00:00,108.5
2026-02-27T19:18:46.290358+00:00,Dota 2: Xtreme Gaming vs Team Falcons (BO3) - DreamLeague Stage 2,dota-2,1358120,over_under,Over,true,0.99,0.97,2026-02-27T15:12:57.492407+00:00,2026-02-27T19:14:49.317170+00:00,241.9
2026-02-27T19:58:35.003264+00:00,AC Monza vs. Virtus Entella,serie-b,90100822,moneyline,No,true,0.99,0.99,2026-02-27T18:00:16.316326+00:00,2026-02-27T19:54:59.596277+00:00,114.7
2026-02-27T20:51:47.489932+00:00,Al Hazem SC vs. Al Ettifaq Saudi Club,saudi-professional-league,90108377,moneyline,Yes,true,0.99,0.98,2026-02-27T18:00:16.316326+00:00,2026-02-27T20:48:10.077109+00:00,167.9
2026-02-27T20:56:47.467772+00:00,Al Ittihad Saudi Club vs. Al Khaleej Saudi Club,saudi-professional-league,90108375,moneyline,No,true,0.99,0,2026-02-27T20:49:27.947083+00:00,2026-02-27T20:52:57.968930+00:00,3.5
2026-02-27T21:32:44.060219+00:00,"T20 Series Hong Kong vs Kuwait: Hong Kong, China vs Kuwait",international-cricket,,moneyline,"Hong Kong, China",true,0.99,0,2026-02-27T21:20:07.448784+00:00,2026-02-27T21:28:47.025824+00:00,8.7
2026-02-27T21:52:07.348032+00:00,United Rugby Championship: Edinburgh vs Scarlets,united-rugby-championship,4792568,moneyline,No,true,0.99,0.98,2026-02-27T19:46:04.998039+00:00,2026-02-27T21:48:18.092528+00:00,122.2
2026-02-27T21:57:11.793306+00:00,Levante UD vs. Deportivo Alavés,la-liga-2025,90094668,moneyline,No,true,0.99,0.98,2026-02-27T20:00:53.099145+00:00,2026-02-27T21:53:21.830455+00:00,112.5
2026-02-27T22:17:56.512778+00:00,UC Sampdoria vs. SSC Bari,serie-b,90100814,moneyline,No,true,0.99,0.98,2026-02-27T20:00:53.099145+00:00,2026-02-27T22:14:00.475098+00:00,133.1
2026-02-27T23:47:59.164369+00:00,Chile Open: Andrea Pellegrino vs Luciano Darderi,atp,5203165,moneyline,Over,true,0.99,0.999,2026-02-27T21:30:06.218122+00:00,2026-02-27T23:44:06.426381+00:00,134.0
2026-02-27T23:47:59.164369+00:00,Chile Open: Andrea Pellegrino vs Luciano Darderi,atp,5203165,moneyline,Over,true,0.99,0.999,2026-02-27T21:30:06.218122+00:00,2026-02-27T23:44:06.426381+00:00,134.0
2026-02-27T23:50:36.950369+00:00,Princeton Tigers vs. Dartmouth Big Green (W),cwbb,149059,moneyline,Princeton Tigers,true,0.99,0,2026-02-27T23:00:54.675754+00:00,2026-02-27T23:46:41.292334+00:00,45.8
2026-02-27T23:59:26.574591+00:00,Towson Tigers vs. Campbell Fighting Camels (W),cwbb,149062,moneyline,Towson Tigers,true,0.99,0.98,2026-02-27T22:00:53.161511+00:00,2026-02-27T23:55:31.354261+00:00,114.6
2026-02-28T02:22:16.836682+00:00,Nets vs. Celtics,nba-2026,20023324,moneyline,Yes,true,0.99,0.04,2026-02-28T00:30:53.083520+00:00,2026-02-28T02:18:29.859118+00:00,107.6
2026-02-28T02:27:15.758520+00:00,Nets vs. Celtics,nba-2026,20023324,moneyline,Over,true,0.99,0.93,2026-02-28T00:30:53.083520+00:00,2026-02-28T02:23:32.468136+00:00,112.7
2026-02-28T02:47:12.729774+00:00,ATX Open: Oksana Selekhmeteva vs Peyton Stearns,wta,5204919,over_under,Over 2.5,true,0.99,0.999,2026-02-28T00:05:56.352866+00:00,2026-02-28T02:43:28.913001+00:00,157.5
2026-02-28T02:47:12.729774+00:00,Old Dominion Monarchs vs. Georgia State Panthers,ncaa-cbb,67610,moneyline,Old Dominion Monarchs,true,0.99,0.981,2026-02-28T00:30:53.083520+00:00,2026-02-28T02:43:28.913001+00:00,132.6
2026-02-28T02:49:41.164491+00:00,Knicks vs. Bucks,nba-2026,20023325,moneyline,Yes,true,0.99,0,2026-02-28T01:00:46.243385+00:00,2026-02-28T02:45:58.257182+00:00,105.2
2026-02-28T02:57:09.600219+00:00,Knicks vs. Bucks,nba-2026,20023325,moneyline,Yes,true,0.99,0.47,2026-02-28T01:00:46.243385+00:00,2026-02-28T02:53:25.213169+00:00,112.6
2026-02-28T02:59:39.010791+00:00,Once Caldas vs. Boyacá Chicó FC,primera-a,90105864,moneyline,Yes,true,0.99,0.98,2026-02-28T01:30:53.695963+00:00,2026-02-28T02:55:55.443000+00:00,85.0
2026-02-28T03:07:08.173371+00:00,Knicks vs. Bucks,nba-2026,20023325,moneyline,Over,true,0.99,0.951,2026-02-28T01:00:46.243385+00:00,2026-02-28T03:03:24.720275+00:00,122.6
2026-02-28T03:10:38.492978+00:00,Knicks vs. Bucks,nba-2026,20023325,moneyline,Over,true,0.99,0.999,2026-02-28T01:00:46.243385+00:00,2026-02-28T03:05:54.167020+00:00,125.1
2026-02-28T03:18:08.869387+00:00,Once Caldas vs. Boyacá Chicó FC,primera-a,90105864,moneyline,No,true,0.99,0.98,2026-02-28T01:30:53.695963+00:00,2026-02-28T03:14:22.987226+00:00,103.5
2026-02-28T03:20:38.417121+00:00,Knicks vs. Bucks,nba-2026,20023325,moneyline,Over,true,0.99,0,2026-02-28T03:15:37.743305+00:00,2026-02-28T03:16:53.955854+00:00,1.3
2026-02-28T03:28:08.535183+00:00,Grizzlies vs. Mavericks,nba-2026,20023326,moneyline,Yes,true,0.99,0.999,2026-02-28T01:30:53.695963+00:00,2026-02-28T03:24:24.414505+00:00,113.5
2026-02-28T03:40:35.678436+00:00,Southern Miss Golden Eagles vs. South Alabama Jaguars,ncaa-cbb,67605,spread,Southern Miss Golden Eagles,true,0.99,0.999,2026-02-28T01:30:53.695963+00:00,2026-02-28T03:36:53.139243+00:00,126.0
2026-02-28T03:57:45.298532+00:00,Nets vs. Celtics,nba-2026,20023324,moneyline,Yes,true,0.99,0.48,2026-02-28T00:30:53.083520+00:00,2026-02-28T03:54:11.361543+00:00,203.3
2026-02-28T05:36:43.177968+00:00,Auckland FC vs. Melbourne City FC,a-league-soccer,90097555,moneyline,No,true,0.99,0.98,2026-02-28T04:00:11.636999+00:00,2026-02-28T05:34:35.068508+00:00,94.4
2026-02-28T06:56:59.769684+00:00,Ulsan HD FC vs. Gangwon FC,k-league,90105996,moneyline,Yes,true,0.99,0.96,2026-02-28T05:00:00.109530+00:00,2026-02-28T06:55:26.399001+00:00,115.4
2026-02-28T09:24:52.695659+00:00,"T20 Series Hong Kong vs Kuwait: Hong Kong, China vs Kuwait",international-cricket,,moneyline,No,true,0.99,0,2026-02-28T07:42:40.927166+00:00,2026-02-28T09:21:37.111990+00:00,98.9
2026-02-28T11:29:07.605200+00:00,LoL: Top Esports vs Team WE (BO5) - LPL Playoffs,league-of-legends,1352795,over_under,Under,true,0.99,0.999,2026-02-28T09:00:10.062370+00:00,2026-02-28T11:26:33.206260+00:00,146.4
2026-02-28T12:26:11.796680+00:00,StarCraft II: SHIN vs ShoWTimE (BO7) - PiG Sty Festival Playoffs,starcraft-2,1368519,moneyline,ShoWTimE,true,0.99,0.99,2026-02-28T11:00:34.110577+00:00,2026-02-28T12:22:54.003889+00:00,82.3
2026-02-28T13:25:30.077159+00:00,Kerala Blasters FC vs. Inter Kashi FC,indian-super-league,90108255,moneyline,No,true,0.99,0.98,2026-02-28T11:30:01.302129+00:00,2026-02-28T13:21:28.385484+00:00,111.5
2026-02-28T14:58:17.689929+00:00,Dota 2: Xtreme Gaming vs Team Falcons (BO3) - DreamLeague Stage 2,dota-2,1358120,over_under,Over,true,0.99,0.975,2026-02-27T19:53:49.773425+00:00,2026-02-28T14:54:07.951335+00:00,1140.3
2026-02-28T15:31:54.362249+00:00,Mohun Bagan Super Giant vs. Mohammedan SC,indian-super-league,90108256,moneyline,Yes,true,0.99,0.99,2026-02-28T14:00:46.264875+00:00,2026-02-28T15:27:48.772902+00:00,87.0
2026-02-28T16:20:51.645580+00:00,Counter-Strike: Aurora Young Blood vs HAVU (BO3) - CCT Europe Closed Qualifier: Series #17 Playoffs,counter-strike,1372383,spread,HAVU,true,0.99,0.03,2026-02-28T15:01:20.199007+00:00,2026-02-28T16:16:40.317936+00:00,75.3
2026-02-28T16:20:51.645580+00:00,Dota 2: Aurora vs Xtreme Gaming (BO3) - DreamLeague Playoffs,dota-2,1358122,over_under,Under,true,0.99,0,2026-02-28T15:20:45.558382+00:00,2026-02-28T16:16:40.317936+00:00,55.9
2026-02-28T16:26:26.705346+00:00,Dota 2: Aurora vs Xtreme Gaming (BO3) - DreamLeague Playoffs,dota-2,1358122,over_under,Over,true,0.99,0,2026-02-28T15:20:45.558382+00:00,2026-02-28T16:22:15.753020+00:00,61.5
2026-02-28T16:29:09.828198+00:00,Falkirk FC vs. Kilmarnock FC,scottish-premiership,90100528,moneyline,No,true,0.99,0.97,2026-02-28T15:01:20.199007+00:00,2026-02-28T16:25:05.006200+00:00,83.7
2026-02-28T16:50:29.348514+00:00,Queens Park Rangers FC vs. Sheffield United FC,efl-championship,90092246,moneyline,Yes,true,0.99,0.95,2026-02-28T15:01:20.199007+00:00,2026-02-28T16:45:12.039457+00:00,103.9
2026-02-28T16:50:29.348514+00:00,Burnley FC vs. Brentford FC - Halftime Result,premier-league-2025,,moneyline,No,true,0.99,0.98,2026-02-28T15:01:20.199007+00:00,2026-02-28T16:45:12.039457+00:00,103.9
2026-02-28T16:53:22.667669+00:00,Ipswich Town FC vs. Swansea City AFC,efl-championship,90092255,moneyline,No,true,0.99,0.96,2026-02-28T15:01:20.199007+00:00,2026-02-28T16:49:03.597665+00:00,107.7
2026-02-28T17:27:43.374313+00:00,T20 World Cup: Sri Lanka vs Pakistan,international-cricket,,moneyline,Yes,true,0.99,0.999,2026-02-28T13:30:49.238094+00:00,2026-02-28T17:23:24.656643+00:00,232.6
2026-02-28T17:27:43.374313+00:00,Borussia Mönchengladbach vs. 1. FC Union Berlin - Halftime Result,bundesliga-2025,,moneyline,Yes,true,0.99,0.99,2026-02-28T14:30:56.328809+00:00,2026-02-28T17:23:24.656643+00:00,172.5
2026-02-28T17:50:03.079370+00:00,Stade Rennais FC 1901 vs. Toulouse FC,ligue-1-2025,90094010,moneyline,No,true,0.99,0.94,2026-02-28T16:01:11.016110+00:00,2026-02-28T17:45:52.295978+00:00,104.7
2026-02-28T17:55:31.256711+00:00,LoL: Movistar KOI vs Karmine Corp (BO5) - LEC Versus Playoffs,league-of-legends,1350540,spread,Karmine Corp,true,0.99,0.78,2026-02-28T16:53:22.667669+00:00,2026-02-28T17:51:25.730947+00:00,58.1
2026-02-28T17:56:52.929462+00:00,Newcastle United FC vs. Everton FC - Halftime Result,premier-league-2025,,moneyline,No,true,0.99,0.92,2026-02-28T15:01:20.199007+00:00,2026-02-28T17:52:48.382201+00:00,171.5
2026-02-28T18:07:38.976783+00:00,Counter-Strike: EYEBALLERS vs FOKUS (BO3) - PGL Bucharest: European Closed Qualifier Playoffs,counter-strike,1368682,moneyline,FOKUS,true,0.99,0.999,2026-02-28T15:15:14.624323+00:00,2026-02-28T18:03:32.703200+00:00,168.3
2026-02-28T18:09:00.770494+00:00,Hellas Verona FC vs. SSC Napoli - Halftime Result,serie-a-2025,,moneyline,No,true,0.99,0,2026-02-28T17:00:54.145320+00:00,2026-02-28T18:04:55.939137+00:00,64.0
2026-02-28T18:13:05.836681+00:00,LoL: Movistar KOI vs Karmine Corp (BO5) - LEC Versus Playoffs,league-of-legends,1350540,over_under,Under,true,0.99,0,2026-02-28T16:11:07.869963+00:00,2026-02-28T18:09:00.770494+00:00,117.9
2026-02-28T18:44:51.009326+00:00,Tigre 2: Facundo Acosta vs Alvaro Guillen Meza,atp,5206510,moneyline,Over,true,0.99,0,2026-02-28T15:45:42.357700+00:00,2026-02-28T18:40:45.975004+00:00,175.1
2026-02-28T18:46:15.453198+00:00,T20 World Cup: Sri Lanka vs Pakistan - Team Top Batter,international-cricket,,moneyline,Yes,true,0.99,0,2026-02-28T18:13:05.836681+00:00,2026-02-28T18:42:07.663759+00:00,29.0
2026-02-28T18:48:58.439927+00:00,Heracles Almelo vs. PSV,ere-2025,90090909,moneyline,Yes,true,0.99,0,2026-02-28T18:43:29.360082+00:00,2026-02-28T18:44:51.009326+00:00,1.4
2026-02-28T18:53:03.906204+00:00,AC Sparta Praha vs. FC Baník Ostrava,czechia-1,90107362,moneyline,Yes,true,0.99,0.97,2026-02-28T17:00:54.145320+00:00,2026-02-28T18:48:58.439927+00:00,108.1
2026-02-28T19:00:07.808731+00:00,Niagara Purple Eagles vs. Merrimack College Warriors (W),cwbb,145283,moneyline,Merrimack College Warriors,true,0.99,0.961,2026-02-28T17:00:54.145320+00:00,2026-02-28T18:56:04.583234+00:00,115.2
2026-02-28T19:09:41.506969+00:00,AC Sparta Praha vs. FC Baník Ostrava,czechia-1,90107362,moneyline,No,true,0.99,0.999,2026-02-28T17:00:54.145320+00:00,2026-02-28T19:05:34.281220+00:00,124.7
2026-02-28T19:27:15.107447+00:00,Burnley FC vs. Brentford FC - Exact Score,premier-league-2025,,moneyline,No,true,0.99,0.999,2026-02-28T15:01:20.199007+00:00,2026-02-28T19:23:04.715661+00:00,261.7
2026-02-28T19:34:05.467514+00:00,North Carolina State Wolfpack vs. Notre Dame Fighting Irish,ncaa-cbb,69544,moneyline,Notre Dame Fighting Irish,true,0.99,0,2026-02-28T19:28:36.674223+00:00,2026-02-28T19:29:59.184021+00:00,1.4
2026-02-28T19:36:52.129466+00:00,T20 World Cup: Sri Lanka vs Pakistan - Most Sixes,international-cricket,,moneyline,Yes,true,0.99,0,2026-02-28T17:30:35.899158+00:00,2026-02-28T19:32:44.488890+00:00,122.1
2026-02-28T19:56:03.193076+00:00,Top 14: Toulouse vs Montauban,rugby-top-14,4866602,moneyline,No,true,0.99,0.923,2026-02-28T15:35:50.621147+00:00,2026-02-28T19:51:56.972624+00:00,256.1
2026-02-28T19:58:45.497757+00:00,Trail Blazers vs. Hornets,nba-2026,20023328,moneyline,Under,true,0.99,0.96,2026-02-28T18:02:07.191201+00:00,2026-02-28T19:54:42.192551+00:00,112.6
2026-02-28T20:09:41.936133+00:00,LoL: RED Canids vs FURIA Esports (BO5) - CBLOL Cup Playoffs,league-of-legends,1335656,over_under,Under,true,0.99,0,2026-02-28T19:12:04.519053+00:00,2026-02-28T20:05:37.331683+00:00,53.5
2026-02-28T20:12:26.819198+00:00,Trail Blazers vs. Hornets,nba-2026,20023328,moneyline,Under,true,0.99,0.96,2026-02-28T18:02:07.191201+00:00,2026-02-28T20:08:20.897101+00:00,126.2
2026-02-28T20:24:29.107180+00:00,LoL: RED Canids vs FURIA Esports (BO5) - CBLOL Cup Playoffs,league-of-legends,1335656,over_under,Under,true,0.99,0,2026-02-28T19:20:18.477832+00:00,2026-02-28T20:19:16.607843+00:00,59.0
2026-02-28T20:32:43.831633+00:00,Penguins vs. Rangers,nhl-2026,30024907,spread,Penguins,true,0.99,0.93,2026-02-28T17:30:35.899158+00:00,2026-02-28T20:28:39.472336+00:00,178.1
2026-02-28T20:57:16.727472+00:00,Pau FC vs. AS Saint-Étienne,ligue-2,90103038,moneyline,No,true,0.99,0.999,2026-02-28T19:00:07.808731+00:00,2026-02-28T20:53:13.632572+00:00,113.1
2026-02-28T20:59:58.688212+00:00,Al Najmah Saudi Club vs. Al Okhdood SC,saudi-professional-league,90108379,moneyline,No,true,0.99,0.96,2026-02-28T18:02:07.191201+00:00,2026-02-28T20:55:56.382611+00:00,173.8
2026-02-28T21:18:57.976713+00:00,Charleston Southern Buccaneers vs. UNC Asheville Bulldogs,ncaa-cbb,70512,moneyline,Charleston Southern Buccaneers,true,0.99,0.96,2026-02-28T19:00:07.808731+00:00,2026-02-28T21:14:55.448067+00:00,134.8
2026-02-28T21:24:32.155391+00:00,Valorant: XLG Gaming vs NRG (BO3) - VCT Masters Santiago Group Stage,valorant,1367377,moneyline,NRG,true,0.99,0.99,2026-02-28T19:31:20.560049+00:00,2026-02-28T21:20:20.926307+00:00,109.0
2026-02-28T21:52:51.757264+00:00,NEC vs. Fortuna Sittard,ere-2025,90090907,moneyline,No,true,0.99,0,2026-02-28T20:00:09.004929+00:00,2026-02-28T21:48:50.196754+00:00,108.7
2026-02-28T21:56:54.870115+00:00,LoL: RED Canids vs FURIA Esports (BO5) - CBLOL Cup Playoffs,league-of-legends,1335656,over_under,Under,true,0.99,0.999,2026-02-28T19:12:04.519053+00:00,2026-02-28T21:52:51.757264+00:00,160.8
2026-02-28T22:28:04.489304+00:00,Chicago Fire FC vs. CF Montréal - Halftime Result,mls-2025,,moneyline,No,true,0.99,0.92,2026-02-28T19:31:20.560049+00:00,2026-02-28T22:23:59.286029+00:00,172.6
2026-02-28T22:51:02.308983+00:00,Southern Utah Thunderbirds vs. Utah Tech Trailblazers (W),cwbb,144171,moneyline,Utah Tech Trailblazers,true,0.99,0,2026-02-28T21:01:20.491063+00:00,2026-02-28T22:46:59.479737+00:00,105.6
2026-02-28T23:09:59.999774+00:00,Kansas Jayhawks vs. Arizona Wildcats,ncaa-cbb,71561,moneyline,Arizona Wildcats,true,0.99,0.964,2026-02-28T21:01:20.491063+00:00,2026-02-28T23:05:57.412623+00:00,124.6
