exit_ts,tier,event,outcome,entry_price,exit_price,shares,cost,pnl,won,exit_reason,entry_ts,ratio,s1_margin,category,market_id,token_id
2026-03-14T00:05:15.501138+00:00,B,Austin: Paula Badosa vs Bianca Andreescu,Bianca Andreescu,0.76,0.3,11.969706710526316,9.0969771,-5.5061,False,STOP_LOSS,2026-03-13T22:56:16.133306+00:00,0,4,WTA_CHALL,1573475,54549604620872305337819563579407503572033086360822814103479892000773893922493
2026-03-14T09:11:14.085188+00:00,S,Antalya 3: Veronika Erjavec vs Tamara Zidansek,Tamara Zidansek,0.81,1.0,44.91069777777778,36.3776652,8.5330,True,AUTO_RESOLVED,2026-03-14T08:35:05.640535+00:00,0,6,WTA_CHALL,1576229,42292563225369071374652770034074277288380901466201454126542711080102250575959
2026-03-15T09:16:42.889559+00:00,S,Antalya 3: Anhelina Kalinina vs Tamara Zidansek,Anhelina Kalinina,0.92,1.0,44.832349130434785,41.245761200000004,3.5866,True,AUTO_RESOLVED,2026-03-15T08:33:41.891135+00:00,0,6,WTA_CHALL,1585880,74050843947801963277101851248182843031006734215145226640048468719848548675942
2026-03-16T15:38:41.760809+00:00,B,"Miami Open, Qualification: Victoria Jimenez Kasintseva vs Varvara Lepchenko",Varvara Lepchenko,0.63,0.29,20.851294761904764,13.1363157,-7.0894,False,STOP_LOSS,2026-03-16T14:58:23.180603+00:00,0,4,WTA_CHALL,1594476,107693129685144496009670496626572082936913956538564044143895115287732220532670
2026-03-16T16:24:59.371983+00:00,C,"Miami Open, Qualification: Roman Andres Burruchaga vs Arthur Fery",Roman Andres Burruchaga,0.7,0.0,7.306092085714287,5.11426446,-5.1143,False,AUTO_RESOLVED,2026-03-16T15:43:56.300086+00:00,1.8,4,ATP_CHALL,1601629,8082846728748029653525082127167870105634024497350153666945620972823582324448
2026-03-16T17:38:52.171746+00:00,A,"Miami Open, Qualification: Katie Volynets vs Priscilla Hon",Katie Volynets,0.87,1.0,38.7917841954023,33.74885225,5.0429,True,AUTO_RESOLVED,2026-03-16T14:42:56.873741+00:00,1.4,5,WTA_CHALL,1594488,92453991247180575431999053167102123225082866546425212067793227753784239770575
2026-03-16T18:02:32.715804+00:00,C,"Miami Open, Qualification: Benjamin Willwerth vs Luca Van Assche",Luca Van Assche,0.98,1.0,5.663099801020408,5.549837805,0.1133,True,AUTO_RESOLVED,2026-03-16T17:39:22.658068+00:00,17.5,3,ATP_CHALL,1601609,93034187402349380880318797189495047198196175086261837291407716337732463999904
2026-03-16T19:56:41.561286+00:00,B,"Miami Open, Qualification: Storm Hunter vs Rebeka Masarova",Rebeka Masarova,0.86,1.0,12.715874999999999,10.935652499999998,1.7802,True,AUTO_RESOLVED,2026-03-16T18:40:39.988589+00:00,1.8,4,WTA_CHALL,1594357,80727548149273163725568380557706699781269993562516490465423271713557025080155
2026-03-16T20:17:58.156559+00:00,C,"Miami Open, Qualification: Alex Bolt vs Sho Shimabukuro",Sho Shimabukuro,0.63,1.0,11.26606095238095,7.097618399999999,4.1684,True,AUTO_RESOLVED,2026-03-16T19:15:59.760029+00:00,1.4,4,ATP_CHALL,1601625,94630472912154704769938234256356706217369761180193484200484352515309791629156
2026-03-16T22:21:58.293744+00:00,S,"Miami Open, Qualification: Darja Semenistaja vs Monika Ekstrand",Darja Semenistaja,0.96,1.0,41.384150833333344,39.72878480000001,1.6554,True,AUTO_RESOLVED,2026-03-16T21:36:44.038128+00:00,3.6,6,WTA_CHALL,1594491,13963345743035543985529638484839800595131712733049704818272955052672340720125
2026-03-16T22:31:08.432475+00:00,B,"Miami Open, Qualification: Viktorija Golubic vs Thea Frodin",Thea Frodin,0.53,0.0,25.40805509433962,13.4662692,-13.4663,False,AUTO_RESOLVED,2026-03-16T22:21:25.007345+00:00,0,4,WTA_CHALL,1594322,15267027450454741724022819840117019775642446108488837880937558507611016364050
2026-03-16T23:20:25.984497+00:00,B,"Miami Open, Qualification: Thiago Agustin Tirante vs Diego Dedura-Palomero",Thiago Agustin Tirante,0.92,1.0,11.193836739130434,10.2983298,0.8955,True,AUTO_RESOLVED,2026-03-16T22:42:03.131358+00:00,3.5,4,ATP_TOUR,1601612,800471140766693826573586176939849640867558450682064890997681493560314923210
2026-03-17T00:03:46.419907+00:00,B,"Miami Open, Qualification: Lucrezia Stefanini vs Diane Parry",Diane Parry,0.9,0.99,19.68866,17.719794,1.4312,True,API_WIN,2026-03-16T21:21:10.547453+00:00,1.4,4,WTA_CHALL,1594376,34347458294656847321025898195677463187930253244917863412594683121438429726037
2026-03-17T00:08:51.992230+00:00,C,"Miami Open, Qualification: Luis Guto Miguel vs Benjamin Bonzi",Benjamin Bonzi,0.979,1.0,5.575412420837589,5.45832876,0.1171,True,AUTO_RESOLVED,2026-03-16T23:19:08.310408+00:00,2.5,4,ATP_CHALL,1601635,27149566694487086051063633861683229445953293969072623193152329417882011907601
2026-03-17T01:09:25.429642+00:00,C,"Miami Open, Qualification: Rafael Jodar vs Manoj Dhamne Manas",Rafael Jodar,0.978,1.0,5.173694294478527,5.0598730199999995,0.1138,True,AUTO_RESOLVED,2026-03-17T00:59:43.036271+00:00,4.5,3,ATP_CHALL,1601633,91054967742383027519207664462500309800225014036434188678429620520359106184580
2026-03-17T17:54:16.903399+00:00,B,"Miami Open, Qualification: Yannick Hanfmann vs Luca Van Assche",Yannick Hanfmann,0.85,0.99,23.81430194117647,20.24215665,3.7504,True,API_WIN,2026-03-17T15:44:34.147385+00:00,1.7,5,ATP_TOUR,1611365,45472210883026769664668381864293284670911365232037263075032625844362835487478
2026-03-17T19:34:34.138967+00:00,A,"Miami Open, Qualification: Ella Seidel vs Rebeka Masarova",Rebeka Masarova,0.86,0.99,31.045331104651165,26.69898475,4.6392,True,API_WIN,2026-03-17T17:11:04.375464+00:00,0,5,WTA_CHALL,1623262,54650530430219173091020702321034517906256123309172971643988232835165499895534
2026-03-17T20:47:55.705758+00:00,B,"Miami Open, Qualification: Darja Semenistaja vs Sinja Kraus",Sinja Kraus,0.78,1.0,24.578798269230766,19.17146265,5.4073,True,AUTO_RESOLVED,2026-03-17T19:59:47.110021+00:00,0,4,WTA_CHALL,1623279,81987256756115286809972803269036771352264693390871624715725254224618609329375
2026-03-17T20:54:28.859480+00:00,B,"Miami Open, Qualification: Mary Stoiana vs Yulia Starodubtseva",Yulia Starodubtseva,0.83,0.99,22.24488325301205,18.4632531,4.1986,True,API_WIN,2026-03-17T20:21:53.108164+00:00,1.7,4,WTA_CHALL,1623304,111438837386767487251451151759345213238604326654868752140739881784799509605908
2026-03-18T02:26:41.390425+00:00,B,Miami Open: Katerina Siniakova vs Camila Osorio,Camila Osorio,0.8,1.0,20.861189624999994,16.688951699999997,4.1722,True,AUTO_RESOLVED,2026-03-18T01:32:04.456739+00:00,0,5,WTA_TOUR,1603642,10041188443325905358498221060344639713539509402380220812562287871690314078209
2026-03-19T15:11:20.230664+00:00,B,Miami Open: Sara Bejlek vs Talia Gibson,Talia Gibson,0.87,1.0,16.566260862068965,14.41264695,2.1536,True,AUTO_RESOLVED,2026-03-19T14:47:30.258658+00:00,0,5,WTA_TOUR,1635486,59135083201241858142506505768620652451052169485344378668281173305822912080540
2026-03-19T17:39:44.693615+00:00,B,Miami Open: Eva Lys vs Yulia Starodubtseva,Yulia Starodubtseva,0.8200000000000001,1.0,17.098460670731708,14.02073775,3.0777,True,AUTO_RESOLVED,2026-03-19T16:47:30.932719+00:00,0,5,WTA_TOUR,1635467,44333458484663440477084459316984060084794050055899001281173380331199561691172
2026-03-19T20:37:53.896137+00:00,B,Miami Open: Stefanos Tsitsipas vs Arthur Fery,Stefanos Tsitsipas,0.91,1.0,8.03688379120879,7.31356425,0.7233,True,AUTO_RESOLVED,2026-03-19T19:35:04.202747+00:00,3.4,5,ATP_TOUR,1635479,36256011997880566837517220842567891796370681905190000397867345753732257844973
2026-03-19T22:37:45.313417+00:00,B,Miami Open: Solana Sierra vs Kamilla Rakhimova,Kamilla Rakhimova,0.9299999999999999,0.99,13.871945,12.900908849999999,0.5419,True,API_WIN,2026-03-19T22:24:43.505351+00:00,0,5,WTA_TOUR,1635493,51064995672137467917420664095938530350994205656467332004606647865861184691553
2026-03-20T00:08:37.108244+00:00,B,Miami Open: Magda Linette vs Iga Swiatek,Iga Swiatek,0.979,0.0,13.2795424412666,13.00067205,-13.0007,False,AUTO_RESOLVED,2026-03-19T22:51:40.345707+00:00,16.7,5,WTA_TOUR,1632679,105889902872950705224369699849831266580350986438505942074902911623965535642986
2026-03-20T04:40:03.888154+00:00,B,Miami Open: Mirra Andreeva vs McCartney Kessler,Mirra Andreeva,0.96,1.0,11.532043906250001,11.07076215,0.4613,True,AUTO_RESOLVED,2026-03-20T03:06:52.035823+00:00,5.1,5,WTA_TOUR,1632676,15459986984250015855203651451044550345234650466640042294302027622193802361024
2026-03-20T17:47:03.101262+00:00,B,Miami Open: Anna Blinkova vs Victoria Mboko,Victoria Mboko,0.964,1.0,11.18981234439834,10.7869791,0.4028,True,AUTO_RESOLVED,2026-03-20T17:29:32.193613+00:00,10.2,4,WTA_TOUR,1635517,3135517196754736414123720617881112984001161220855795018905903413963911240005
2026-03-20T20:17:57.973339+00:00,B,Miami Open: Amanda Anisimova vs Ajla Tomljanovic,Amanda Anisimova,0.93,1.0,8.102615629032258,7.535432535,0.5672,True,AUTO_RESOLVED,2026-03-20T17:50:35.930116+00:00,13.5,5,WTA_TOUR,1632678,46035690540601919858314473501950465441039808542194615781501519554322408062827
2026-03-20T21:33:14.834566+00:00,B,Miami Open: Elvina Kalieva vs Elise Mertens,Elise Mertens,0.94,1.0,9.103989734042553,8.55775035,0.5462,True,AUTO_RESOLVED,2026-03-20T21:15:31.152640+00:00,8.1,4,WTA_TOUR,1655459,87877683183359065535866975156406646967338334171597790086153261313722958870964
2026-03-20T23:15:54.947176+00:00,B,Miami Open: Gabriel Diallo vs Yibing Wu,Gabriel Diallo,0.77,1.0,8.603680714285712,6.624834149999999,1.9788,True,AUTO_RESOLVED,2026-03-20T22:18:20.213939+00:00,3.2,4,ATP_TOUR,1611394,91608762803518016459865437778671035673446685028432618480793963437986709095044
2026-03-21T00:22:18.408388+00:00,B,Miami Open: Arthur Fils vs Darwin Blanch,Arthur Fils,0.94,1.0,9.642251489361703,9.0637164,0.5785,True,AUTO_RESOLVED,2026-03-20T23:52:12.384948+00:00,8.8,4,ATP_TOUR,1655469,107002380415938964921301977389403583905679642674748987697747671624037571353469
2026-03-21T00:39:35.282789+00:00,B,Miami Open: Elina Svitolina vs Emerson Jones,Elina Svitolina,0.957,0.99,6.653771097178683,6.367658939999999,0.0790,True,API_WIN,2026-03-21T00:25:47.553640+00:00,18.4,4,WTA_TOUR,1658792,49956273524342929789595113566024686231023530391451530829179725535813324019007
2026-03-21T01:16:25.678142+00:00,A,Miami Open: Camilo Ugo Carabelli vs Sebastian Korda,Sebastian Korda,0.978,1.0,9.99031927402863,9.77053225,0.2198,True,AUTO_RESOLVED,2026-03-21T00:46:38.535598+00:00,1.8,6,ATP_TOUR,1655482,63218744505159750144317617643764460774272672307333365201513219515614823594134
2026-03-21T03:04:31.711966+00:00,B,Miami Open: Moise Kouame vs Jiri Lehecka,Jiri Lehecka,0.97,1.0,10.858880721649484,10.5331143,0.3258,True,AUTO_RESOLVED,2026-03-21T02:04:38.406012+00:00,17.5,4,ATP_TOUR,1655443,100312386440107829473303815149940895158590450129546952840813673516487677312077
2026-03-21T15:59:05.798811+00:00,B,Miami Open: Aleksandar Vukic vs Rafael Jodar,Rafael Jodar,0.95,1.0,6.066876315789473,5.763532499999999,0.3033,True,AUTO_RESOLVED,2026-03-21T15:32:22.139483+00:00,0,5,ATP_CHALL,1658780,56489961171450089268526785933371906653614397697084033651472996109525697607926
2026-03-21T16:20:01.720168+00:00,B,Miami Open: Iva Jovic vs Paula Badosa,Iva Jovic,0.92,1.0,6.3060818478260865,5.8015953,0.5045,True,AUTO_RESOLVED,2026-03-21T16:02:46.463783+00:00,5.9,4,WTA_TOUR,1652029,96058050043654270872320888107222572736899673312350204397355152361434829006308
2026-03-21T18:48:01.112567+00:00,A,Miami Open: Gabriela Ruse vs Madison Keys,Madison Keys,0.94,1.0,10.546696808510639,9.913895,0.6328,True,AUTO_RESOLVED,2026-03-21T18:02:52.882185+00:00,4.1,6,WTA_TOUR,1658783,16927877341335966364479973722357875087709846739142717631959728959831187292043
2026-03-21T19:21:27.319496+00:00,A,Miami Open: Corentin Moutet vs Tomas Machac,Corentin Moutet,0.75,0.0,9.918527333333333,7.4388955,-7.4389,False,AUTO_RESOLVED,2026-03-21T18:39:24.972601+00:00,1.5,6,ATP_TOUR,1658796,21498294535512090208959326452348398776409833427893842381982135883720361220968
2026-03-21T21:09:28.956984+00:00,B,Miami Open: Anastasia Zakharova vs Victoria Mboko,Victoria Mboko,0.976,1.0,5.898542981557377,5.75697795,0.1416,True,AUTO_RESOLVED,2026-03-21T20:09:36.355623+00:00,8.2,5,WTA_TOUR,1665959,115500017958895499013343480168591723232093482446230491250876282643774454381727
2026-03-22T22:34:05.275903+00:00,B,Miami Open: Tommy Paul vs Raphael Collignon,Tommy Paul,0.9,0.99,5.623182166666665,5.060863949999999,0.4950,True,API_WIN,2026-03-22T20:41:26.640600+00:00,3.1,4,ATP_TOUR,1668660,37770369633710231124760708352193007806670563617219791724871815760873649217463
2026-03-23T12:37:24.868383+00:00,A,Dubrovnik: Dominika Salkova vs Kaitlin Quevedo,Kaitlin Quevedo,0.81,1.0,10.164377469135802,8.23314575,1.9312,True,AUTO_RESOLVED,2026-03-23T11:11:16.435410+00:00,0,5,WTA_CHALL,1686063,85606042659629767287663698877469502535813979087532217245178410555913871310515
2026-03-23T15:50:33.629617+00:00,A,Miami Open: Karolina Muchova vs Alexandra Eala,Karolina Muchova,0.97,1.0,7.770667010309278,7.537547,0.2331,True,AUTO_RESOLVED,2026-03-23T15:35:08.193489+00:00,2.1,6,WTA_TOUR,1678549,36522252518196221292774949921985562727054833159996326779557325206989886269480
2026-03-23T17:27:36.124732+00:00,A,Miami Open: Francisco Cerundolo vs Daniil Medvedev,Francisco Cerundolo,0.62,0.0,12.221584677419354,7.5773825,-7.5774,False,AUTO_RESOLVED,2026-03-23T16:34:19.918405+00:00,0,6,ATP_TOUR,1678603,79524041466211300390672070401932538028679627514123660808582990700085706410232
2026-03-24T10:59:37.101575+00:00,A,Dubrovnik: Lucija Bagaric vs Mia Ristic,Mia Ristic,0.94,1.0,22.57396356382979,21.21952575,1.3544,True,AUTO_RESOLVED,2026-03-24T10:39:37.099219+00:00,1.7,5,WTA_CHALL,1692119,35163864765025724127828181611687568836171771945690687349746090253654669627946
2026-03-24T11:23:44.298052+00:00,B,Dubrovnik: Amarissa Kiara Toth vs Andrea Lazaro Garcia,Andrea Lazaro Garcia,0.89,1.0,14.305298258426966,12.73171545,1.5736,True,AUTO_RESOLVED,2026-03-24T10:44:42.086139+00:00,1.8,4,WTA_CHALL,1692093,80839729078367895098144234562423172249950085844669171229089382330885566967411
2026-03-24T11:51:29.343622+00:00,S,Dubrovnik: Sarah Rakotomanga vs Sara Sorribes Tormo,Sara Sorribes Tormo,0.94,1.0,36.11834170212766,33.9512412,2.1671,True,AUTO_RESOLVED,2026-03-24T10:46:42.632880+00:00,0,6,WTA_CHALL,1692134,102595273658929169324809255393517196951868909684393205898610207157339090942052
2026-03-24T15:32:21.971292+00:00,A,Dubrovnik: Ana Konjuh vs Tamara Korpatsch,Tamara Korpatsch,0.96,1.0,21.13507994791667,20.28967675,0.8454,True,AUTO_RESOLVED,2026-03-24T14:35:58.288315+00:00,7.2,5,WTA_CHALL,1686077,110667437508485858994702889323573684508563790997000202036722234602452518064086
2026-03-24T16:57:58.217203+00:00,B,Miami Open: Sebastian Korda vs Martin Landaluce,Sebastian Korda,0.95,0.0,12.897553263157896,12.2526756,-12.2527,False,AUTO_RESOLVED,2026-03-24T15:47:30.430126+00:00,4.2,4,ATP_TOUR,1688367,50274864585091852645040151295627150497968673600479958636738903969993962607091
2026-03-24T17:23:43.900644+00:00,B,Dubrovnik: Nuria Brancaccio vs Lisa Pigato,Nuria Brancaccio,0.78,1.0,13.423943076923074,10.470675599999998,2.9533,True,AUTO_RESOLVED,2026-03-24T16:36:05.437876+00:00,1.3,4,WTA_CHALL,1686073,86036715298364984304088805879977790682773499821124540431516130339406796277718
2026-03-24T21:54:34.346266+00:00,B,Miami Open: Tomas Etcheverry vs Tommy Paul,Tommy Paul,0.92,1.0,13.69763054347826,12.6018201,1.0958,True,AUTO_RESOLVED,2026-03-24T21:10:08.089861+00:00,1.4,5,ATP_TOUR,1688346,42127505862258856250721786290703976233873610253689276319242379739541148227439
2026-03-25T01:16:54.993319+00:00,C,Miami Open: Belinda Bencic vs Coco Gauff,Coco Gauff,0.79,0.0,6.859235392405063,5.41879596,-5.4188,False,AUTO_RESOLVED,2026-03-25T00:22:20.824760+00:00,3.0,3,WTA_TOUR,1698802,60934086420957889034794152253930692156499540585263163919929942134851131767106
2026-03-25T16:54:59.947910+00:00,B,Dubrovnik: Kaitlin Quevedo vs Veronika Erjavec,Veronika Erjavec,0.86,0.99,12.055869941860465,10.36804815,1.5673,True,WIN,2026-03-25T16:28:06.638285+00:00,1.5,4,WTA_CHALL,1692155,67261434896716402532267209722146832744240180884534508622011944297692092330462
